CB,Localisation,Cote,Sous-localisation,Type de document,Titre,Auteur,Editeur,Date de publication,Date de création
*880860028274*,AUSTFORM,FP 384.3 CAT B,,FORM,Concours d'assistant territorial (qualifié) de conservation du patrimoine et des bibliothèques,"Jean-Yves Thiébault, Françoise Thiébault-Roger",Vuibert,2005,30/07/2007
*880860407479*,AUSTSOCI,020 PAS,,DOA,Passion(s) et collections,colloque organisé par l'Agence Rhône-Alpes pour le livre et la documentation , la Bibliothèque municipale de Chambéry , la Fédération française de coopération entre bibliothèques,FFCB
,,,,,,,ARALD,,
,,,,,,,Bibliothèque municipale de Chambéry,,
*880860421785*,AUSTFORM,FP 020 FAV,,FORM,Les archives,Jean Favier,Presses universitaires de France,2001,30/07/2007
*880860425691*,AUSTSOCI,302.2 LEC,,DOA,La science de l'information,Yves-François Le Coadic,Presses universitaires de France,2004,15/06/2007
*880860427743*,AUSTSOCI,302.2 MUC,,DOA,Les sciences de l'information et de la communication,"Alex Mucchielli,...",Hachette,2001,16/11/2007
*880860610309*,AUSTFORM,FP 020 HIS/3,,FORM,Histoire des bibliothèques françaises,"sous la dir. de Dominique Varry,...",Promodis-Éd. du Cercle de la librairie,impr. 1991,30/07/2007
*880860610333*,AUSTFORM,FP 020 HIS/1,,FORM,Histoire des bibliothèques françaises,sous la direction d'André Vernet,Promodis - Editions du Cercle de la librairie,impr. 1989,30/07/2007
*88086085368X*,AUSTSOCI,020 MAR,,DVDAD,D'Angers à Beni Ayatt,Réalisé par Nathalie Marcault,Plan Large,2001,10/06/2008
,,,,,,,France 3 Ouest,,
,,,,,,,TV10 Angers,,
*880860959360*,AUSTSOCI,020 MEL,,DOA,La sagesse du bibliothécaire,Michel Melot,l'Oeil neuf éd.,2004,29/03/2007
*880860959564*,AUSTSOCI,020 LAU,,DOA,"L'utopie Beaubourg, vingt ans après",Jean Lauxerois,"Bibliothèque publique d'information, Centre Georges-Pompidou",1996,30/05/2007
*880860959588*,AUSTSOCI,020 BIB,,DOA,De la bibliothèque au droit de cité,"Michèle Petit, Chantal Balley, Raymonde Ladefroux","Bibliothèque publique d'information, Centre Georges-Pompidou",1996,30/05/2007
*880860970039*,AUSTSOCI,944.8 COE,,DOA,La mémoire spoliée,Sophie Coeuré,Payot,2006,23/05/2007
*880861229121*,AUSTFORM,FP 010 COM,,FORM,Histoire de l'information scientifique et technique,Martine Comberousse,Armand Colin,2005,30/07/2007
*880861229247*,AUSTFORM,FP 024 SUT,,FORM,Le management de l'information,Éric Sutter,ADBS éd.,2005,30/07/2007
*880861229283*,AUSTFORM,FP 027 CHA,,FORM,Document et numérisation,Jacques Chaumier,ADBS éd.,2006,30/07/2007
*880861342412*,AUSTACTU,020 CAC,,ORA,Dictionnaire de l'information,"comité de réd., Yves Le Coadic, Paul-Dominique Pomart, Eric Sutter",A. Colin,2004,08/01/2008
*880861369698*,AUSTSOCI,020 GAU,,DOA,Une République documentaire,Jean-Luc Gautier-Gentès,Bibliothèque publique d'information-Centre Pompidou,2004,06/05/2009
*880861497823*,AUSTACTU,020 BOU,,ORA,Vocabulaire de la documentation,INTD-ER...,ADBS éd.,2004,23/01/2008
*880861545838*,AUSTSOCI,020 ECO,,DOA,De bibliotheca,Umberto Eco,l'Échoppe,1986,12/07/2007
